;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001203LI241;KNM241  KANALNIVÅMÄTARE 0_1 mVP;0;1;m; Applications.KF14_BioA_App.Programs.Allmänt.A001203LI241; Applications.KF14_BioA_App.Programs.Allmänt.A001203LI241.In.Value
;A001203QI241;SYM241  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI241; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI241.In.Value
;A001203QI242;SYM242  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI242; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI242.In.Value
;A001203QI243;SYM243  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI243; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI243.In.Value
x;A001203QI244;NIM242.1  NITRATMÄTARE;0;100;0; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI244; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI244.In.Value
;A001209FI204;LFM204  LUFTFLÖDESMÄTARE  0_6250 m3/h;0;6000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI204; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI204.In.Value
;A001209FI241;LFM241  LUFTFLÖDESMÄTARE  0_950 m3/h;0;1000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI241; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI241.In.Value
;A001209FI242;LFM242  LUFTFLÖDESMÄTARE  0_1850 m3/h;0;2000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI242; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI242.In.Value
;A001209FI243;LFM243  LUFTFLÖDESMÄTARE  0_1850 m3/h;0;2000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI243; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI243.In.Value
x;A001203QI245;SUM241  SUSP.MÄTARE 0_5 g/l;0;5;g/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI245; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI245.In.Value
x;A001203QI265;SUM261  SUSP.MÄTARE 0_5 g/l;0;5;g/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI265; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI265.In.Value
x;A001203FI261;KFM261  KANALFLÖDESMÄTARE 0-1000 m³/h;0;1000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001203FI261; Applications.KF14_BioA_App.Programs.Allmänt.A001203FI261.In.Value
;A001203LI261;KNM261  KANALNIVÅMÄTARE 0_1 mVP;0;1;m; Applications.KF14_BioA_App.Programs.Allmänt.A001203LI261; Applications.KF14_BioA_App.Programs.Allmänt.A001203LI261.In.Value
;A001203HL241;ILL241 Inloppslucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001203HL241; Applications.KF14_BioA_App.Programs.Allmänt.A001203HL241.In.Value
;A001203HL261;ILL241 Inloppslucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001203HL261; Applications.KF14_BioA_App.Programs.Allmänt.A001203HL261.In.Value
;A001209FI206;LFM206  LUFTFLÖDESMÄTARE  0_6250 m3/h;0;6000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI206; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI206.In.Value
;A001209FI261;LFM261  LUFTFLÖDESMÄTARE  0_950 m3/h;0;1000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI261; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI261.In.Value
;A001209FI262;LFM262  LUFTFLÖDESMÄTARE  0_1850 m3/h;0;2000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI262; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI262.In.Value
;A001209FI263;LFM263  LUFTFLÖDESMÄTARE  0_1850 m3/h;0;2000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI263; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI263.In.Value
;A001203QI261;SYM261  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI261; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI261.In.Value
;A001203QI262;SYM262  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI262; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI262.In.Value
